Mok.nr;Data;Liko;Pask.mok.;Pal.mok;Mok.;Pal.n.
1;15-05-2017;5000.0;185.37;50.0;235.37;12.0
2;15-06-2017;4814.63;187.22;48.15;235.37;12.0
3;15-07-2017;4627.41;189.1;46.27;235.37;12.0
4;15-08-2017;4438.31;190.99;44.38;235.37;12.0
5;15-09-2017;4247.32;192.9;42.47;235.37;12.0
6;15-10-2017;4054.42;194.83;40.54;235.37;12.0
7;15-11-2017;3859.59;196.77;38.6;235.37;12.0
8;15-12-2017;3662.82;198.74;36.63;235.37;12.0
9;15-01-2018;3464.08;200.73;34.64;235.37;12.0
10;15-02-2018;3263.35;202.74;32.63;235.37;12.0
11;15-03-2018;3060.61;204.76;30.61;235.37;12.0
12;15-04-2018;2855.85;206.81;28.56;235.37;12.0
13;15-05-2018;2649.04;208.88;26.49;235.37;12.0
14;15-06-2018;2440.16;210.97;24.4;235.37;12.0
15;15-07-2018;2229.19;213.08;22.29;235.37;12.0
16;15-08-2018;2016.11;215.21;20.16;235.37;12.0
17;15-09-2018;1800.9;217.36;18.01;235.37;12.0
18;15-10-2018;1583.54;219.53;15.84;235.37;12.0
19;15-11-2018;1364.01;221.73;13.64;235.37;12.0
20;15-12-2018;1142.28;223.95;11.42;235.37;12.0
21;15-01-2019;918.33;226.19;9.18;235.37;12.0
22;15-02-2019;692.14;228.45;6.92;235.37;12.0
23;15-03-2019;463.69;230.73;4.64;235.37;12.0
24;15-04-2019;232.96;232.96;2.33;235.29;12.0
